id,name,age,education
user-247,User 247,45,PhD
user-248,User 248,27,Master
user-249,User 249,45,PhD
,User 250,-1,
user-251,User 251,28,Bachelor
user-252,User 252,46,High School
user-253,User 253,42,Master
user-254,User 254,37,Bachelor
user-255,User 255,21,PhD
user-256,User 256,40,PhD
user-257,User 257,45,Bachelor
user-258,User 258,20,High School
user-259,User 259,62,PhD
user-260,User 260,21,PhD
user-261,User 261,65,Master
user-262,User 262,21,Bachelor
user-263,User 263,35,High School
user-264,User 264,24,High School
user-265,User 265,42,PhD
user-266,User 266,39,Master
user-267,User 267,50,Master
user-268,User 268,35,PhD
user-269,User 269,42,Master
user-270,User 270,65,High School
user-271,User 271,63,Bachelor
user-272,User 272,32,Bachelor
user-273,User 273,41,Bachelor
user-274,User 274,49,Bachelor
,User 275,-1,
user-276,User 276,20,PhD
user-277,User 277,56,Bachelor
user-278,User 278,34,Master
user-279,User 279,23,Bachelor
user-280,User 280,46,PhD
user-281,User 281,61,PhD
user-282,User 282,45,Bachelor
user-283,User 283,34,Master
user-284,User 284,65,High School
user-285,User 285,42,Bachelor
user-286,User 286,63,Master
user-287,User 287,28,Master
user-288,User 288,18,PhD
user-289,User 289,60,PhD
user-290,User 290,20,PhD
user-291,User 291,27,Master
user-292,User 292,44,Bachelor
user-293,User 293,39,PhD
user-294,User 294,63,High School
user-295,User 295,27,PhD
user-296,User 296,31,PhD
user-297,User 297,44,Bachelor
user-298,User 298,35,Bachelor
user-299,User 299,28,PhD
,User 300,-1,
user-301,User 301,36,Master
user-302,User 302,51,Master
user-303,User 303,53,Bachelor
user-304,User 304,56,High School
user-305,User 305,55,PhD
user-306,User 306,43,PhD
user-307,User 307,62,High School
user-308,User 308,55,Bachelor
user-309,User 309,40,PhD
user-310,User 310,60,PhD
user-311,User 311,35,Bachelor
user-312,User 312,45,Master
user-313,User 313,55,Bachelor
user-314,User 314,21,Master
user-315,User 315,19,Bachelor
user-316,User 316,23,Master
user-317,User 317,42,PhD
user-318,User 318,59,Master
user-319,User 319,57,High School
user-320,User 320,41,Master
user-321,User 321,35,PhD
user-322,User 322,43,Bachelor
user-323,User 323,56,Master
user-324,User 324,25,High School
,User 325,-1,
user-326,User 326,21,Bachelor
user-327,User 327,30,Bachelor
user-328,User 328,42,Master
user-329,User 329,30,PhD
user-330,User 330,23,Bachelor
user-331,User 331,63,Master
user-332,User 332,51,Bachelor
user-333,User 333,20,PhD
user-334,User 334,19,High School
user-335,User 335,44,Master
user-336,User 336,25,Bachelor
user-337,User 337,61,High School
user-338,User 338,26,PhD
user-339,User 339,49,PhD
user-340,User 340,64,Bachelor
user-341,User 341,62,Master
user-342,User 342,58,Bachelor
user-343,User 343,32,Bachelor
user-344,User 344,31,PhD
user-345,User 345,34,High School
user-346,User 346,35,High School
user-347,User 347,49,Bachelor
user-348,User 348,20,High School
user-349,User 349,22,PhD
,User 350,-1,
user-351,User 351,46,Bachelor
user-352,User 352,18,PhD
user-353,User 353,40,PhD
user-354,User 354,23,Bachelor
user-355,User 355,65,PhD
user-356,User 356,38,Bachelor
user-357,User 357,64,High School
user-358,User 358,49,Bachelor
user-359,User 359,38,High School
user-360,User 360,40,High School
user-361,User 361,55,PhD
user-362,User 362,29,Bachelor
user-363,User 363,26,High School
user-364,User 364,33,Master
user-365,User 365,48,Bachelor
user-366,User 366,37,High School
user-367,User 367,24,Bachelor
user-368,User 368,38,Bachelor
user-369,User 369,46,High School
user-370,User 370,64,Bachelor
user-371,User 371,21,PhD
user-372,User 372,39,Bachelor
user-373,User 373,51,High School
user-374,User 374,53,Master
,User 375,-1,
user-376,User 376,39,PhD
user-377,User 377,56,Master
user-378,User 378,18,High School
user-379,User 379,33,Master
user-380,User 380,59,High School
user-381,User 381,50,High School
user-382,User 382,29,Bachelor
user-383,User 383,20,Master
user-384,User 384,23,Bachelor
user-385,User 385,24,Master
user-386,User 386,61,Bachelor
user-387,User 387,47,PhD
user-388,User 388,51,Bachelor
user-389,User 389,18,Master
user-390,User 390,62,Bachelor
user-391,User 391,21,High School
user-392,User 392,39,PhD
user-393,User 393,37,High School
user-394,User 394,18,High School
user-395,User 395,58,Master
user-396,User 396,65,PhD
user-397,User 397,49,High School
user-398,User 398,22,Master
user-399,User 399,25,High School
,User 400,-1,
user-401,User 401,37,High School
user-402,User 402,40,Master
user-403,User 403,54,High School
user-404,User 404,65,High School
user-405,User 405,56,Bachelor
user-406,User 406,45,Master
user-407,User 407,27,High School
user-408,User 408,42,Bachelor
user-409,User 409,55,Bachelor
user-410,User 410,57,High School
user-411,User 411,31,Master
user-412,User 412,19,Master
user-413,User 413,38,Bachelor
user-414,User 414,51,PhD
user-415,User 415,25,Bachelor
user-416,User 416,33,Master
user-417,User 417,58,PhD
user-418,User 418,59,Bachelor
user-419,User 419,42,Bachelor
user-420,User 420,58,Master
user-421,User 421,57,Bachelor
user-422,User 422,19,High School
user-423,User 423,22,High School
user-424,User 424,25,PhD
,User 425,-1,
user-426,User 426,61,Bachelor
user-427,User 427,27,High School
user-428,User 428,20,High School
user-429,User 429,21,Master
user-430,User 430,46,Master
user-431,User 431,24,High School
user-432,User 432,48,High School
user-433,User 433,19,PhD
user-434,User 434,45,High School
user-435,User 435,47,Master
user-436,User 436,27,PhD
user-437,User 437,35,High School
user-438,User 438,23,Master
user-439,User 439,40,PhD
user-440,User 440,64,Master
user-441,User 441,35,Master
user-442,User 442,60,High School
user-443,User 443,46,Bachelor
user-444,User 444,33,PhD
user-445,User 445,41,PhD
user-446,User 446,65,High School
user-447,User 447,27,PhD
user-448,User 448,32,Master
user-449,User 449,40,Master
,User 450,-1,
user-451,User 451,60,PhD
user-452,User 452,21,Bachelor
user-453,User 453,21,Master
user-454,User 454,54,Bachelor
user-455,User 455,30,High School
user-456,User 456,60,Bachelor
user-457,User 457,18,PhD
user-458,User 458,43,PhD
user-459,User 459,55,High School
user-460,User 460,32,Master
user-461,User 461,26,Bachelor
user-462,User 462,24,PhD
user-463,User 463,25,High School
user-464,User 464,46,Bachelor
user-465,User 465,20,PhD
user-466,User 466,20,Master
user-467,User 467,48,Master
user-468,User 468,48,High School
user-469,User 469,24,Bachelor
user-470,User 470,29,Master
user-471,User 471,22,PhD
user-472,User 472,53,Master
user-473,User 473,58,Master
user-474,User 474,48,PhD
,User 475,-1,
user-476,User 476,31,High School
user-477,User 477,23,Master
user-478,User 478,45,High School
user-479,User 479,25,Master
user-480,User 480,20,PhD
user-481,User 481,23,High School
user-482,User 482,19,Bachelor
user-483,User 483,21,High School
user-484,User 484,18,High School
user-485,User 485,31,PhD
user-486,User 486,19,Bachelor
user-487,User 487,26,High School
user-488,User 488,44,Master
user-489,User 489,55,High School
user-490,User 490,20,Master
user-491,User 491,46,High School
user-492,User 492,27,Bachelor
user-493,User 493,58,PhD
user-494,User 494,35,Bachelor
user-495,User 495,37,Master
user-496,User 496,42,High School
user-497,User 497,40,PhD
user-498,User 498,58,High School
user-499,User 499,62,PhD
,User 500,-1,
user-501,User 501,39,Bachelor
user-502,User 502,43,Master
user-503,User 503,20,High School
user-504,User 504,51,Master
user-505,User 505,54,Master
user-506,User 506,32,Master
user-507,User 507,20,Master
user-508,User 508,41,PhD
user-509,User 509,19,Master
user-510,User 510,18,Master
user-511,User 511,59,Master
user-512,User 512,37,PhD
user-513,User 513,25,PhD
user-514,User 514,62,PhD
user-515,User 515,19,Bachelor
user-516,User 516,18,Master
user-517,User 517,35,High School
user-518,User 518,37,PhD
user-519,User 519,20,Bachelor
user-520,User 520,63,PhD
user-521,User 521,21,High School
user-522,User 522,48,PhD
user-523,User 523,40,Bachelor
user-524,User 524,55,High School
,User 525,-1,
user-526,User 526,60,Bachelor
user-527,User 527,41,PhD
user-528,User 528,39,Master
user-529,User 529,49,High School
user-530,User 530,46,Master
user-531,User 531,28,Master
user-532,User 532,65,Master
user-533,User 533,29,High School
user-534,User 534,44,PhD
user-535,User 535,61,Master
user-536,User 536,46,Master
user-537,User 537,46,High School
user-538,User 538,55,Bachelor
user-539,User 539,28,Master
user-540,User 540,61,Bachelor
user-541,User 541,33,Bachelor
user-542,User 542,59,PhD
user-543,User 543,53,Master
user-544,User 544,45,High School
user-545,User 545,50,High School
user-546,User 546,41,Master
user-547,User 547,49,PhD
user-548,User 548,34,Bachelor
user-549,User 549,32,PhD
,User 550,-1,
user-551,User 551,64,High School
user-552,User 552,24,PhD
user-553,User 553,45,Bachelor
user-554,User 554,53,High School
user-555,User 555,21,PhD
user-556,User 556,42,High School
user-557,User 557,45,Bachelor
user-558,User 558,56,Bachelor
user-559,User 559,43,Bachelor
user-560,User 560,46,Master
user-561,User 561,26,PhD
user-562,User 562,31,PhD
user-563,User 563,30,Bachelor
user-564,User 564,26,Master
user-565,User 565,29,Bachelor
user-566,User 566,65,PhD
user-567,User 567,19,Bachelor
user-568,User 568,22,Bachelor
user-569,User 569,32,PhD
user-570,User 570,20,High School
user-571,User 571,53,PhD
user-572,User 572,18,High School
user-573,User 573,45,Bachelor
user-574,User 574,28,High School
,User 575,-1,
user-576,User 576,25,Bachelor
user-577,User 577,35,High School
user-578,User 578,54,PhD
user-579,User 579,63,Bachelor
user-580,User 580,33,Bachelor
user-581,User 581,51,High School
user-582,User 582,63,Master
user-583,User 583,23,Bachelor
user-584,User 584,40,High School
user-585,User 585,33,Bachelor
user-586,User 586,52,High School
user-587,User 587,58,Master
user-588,User 588,56,Bachelor
user-589,User 589,24,PhD
user-590,User 590,47,Master
user-591,User 591,35,Bachelor
user-592,User 592,26,PhD
user-593,User 593,56,PhD
user-594,User 594,24,Bachelor
user-595,User 595,55,Bachelor
user-596,User 596,43,High School
user-597,User 597,34,Master
user-598,User 598,22,Master
user-599,User 599,47,Master
,User 600,-1,
user-601,User 601,52,Master
user-602,User 602,49,High School
user-603,User 603,23,Bachelor
user-604,User 604,52,Bachelor
user-605,User 605,24,High School
user-606,User 606,45,Master
user-607,User 607,59,PhD
user-608,User 608,61,PhD
user-609,User 609,32,PhD
user-610,User 610,47,High School
user-611,User 611,39,Master
user-612,User 612,18,Master
user-613,User 613,51,PhD
user-614,User 614,48,Bachelor
user-615,User 615,39,PhD
user-616,User 616,42,Bachelor
user-617,User 617,53,Master
user-618,User 618,61,Master
user-619,User 619,27,Bachelor
user-620,User 620,35,Master
user-621,User 621,44,High School
user-622,User 622,57,Bachelor
user-623,User 623,26,Master
user-624,User 624,53,PhD
,User 625,-1,
user-626,User 626,39,PhD
user-627,User 627,18,PhD
user-628,User 628,50,Bachelor
user-629,User 629,30,PhD
user-630,User 630,29,High School
user-631,User 631,64,High School
user-632,User 632,39,Master
user-633,User 633,56,Bachelor
user-634,User 634,19,High School
user-635,User 635,19,High School
user-636,User 636,26,High School
user-637,User 637,53,PhD
user-638,User 638,56,Master
user-639,User 639,21,PhD
user-640,User 640,18,Bachelor
user-641,User 641,60,PhD
user-642,User 642,53,High School
user-643,User 643,26,PhD
user-644,User 644,37,Master
user-645,User 645,53,Master
user-646,User 646,48,PhD
user-647,User 647,43,Master
user-648,User 648,63,Master
user-649,User 649,28,High School
,User 650,-1,
user-651,User 651,38,High School
user-652,User 652,41,Bachelor
user-653,User 653,21,PhD
user-654,User 654,34,Master
user-655,User 655,60,High School
user-656,User 656,65,Bachelor
user-657,User 657,23,Bachelor
user-658,User 658,49,Bachelor
user-659,User 659,41,PhD
user-660,User 660,26,PhD
user-661,User 661,53,Master
user-662,User 662,42,Master
user-663,User 663,40,PhD
user-664,User 664,50,Bachelor
user-665,User 665,34,High School
user-666,User 666,61,Master
user-667,User 667,24,Master
user-668,User 668,22,Bachelor
user-669,User 669,47,Master
user-670,User 670,43,PhD
user-671,User 671,25,Master
user-672,User 672,57,Bachelor
user-673,User 673,48,Master
user-674,User 674,18,High School
,User 675,-1,
user-676,User 676,40,PhD
user-677,User 677,45,Master
user-678,User 678,54,Master
user-679,User 679,60,Bachelor
user-680,User 680,50,PhD
user-681,User 681,24,High School
user-682,User 682,57,Master
user-683,User 683,64,High School
user-684,User 684,36,Master
user-685,User 685,19,PhD
user-686,User 686,28,Bachelor
user-687,User 687,29,Bachelor
user-688,User 688,19,High School
user-689,User 689,39,PhD
user-690,User 690,49,Master
user-691,User 691,60,High School
user-692,User 692,56,Master
user-693,User 693,22,PhD
user-694,User 694,63,Bachelor
user-695,User 695,22,PhD
user-696,User 696,56,High School
user-697,User 697,60,High School
user-698,User 698,18,Master
user-699,User 699,22,Master
,User 700,-1,
user-701,User 701,18,High School
user-702,User 702,37,Bachelor
user-703,User 703,40,Master
user-704,User 704,27,High School
user-705,User 705,60,Master
user-706,User 706,34,Bachelor
user-707,User 707,18,High School
user-708,User 708,62,Master
user-709,User 709,49,High School
user-710,User 710,52,Master
user-711,User 711,28,Master
user-712,User 712,39,Master
user-713,User 713,19,PhD
user-714,User 714,23,PhD
user-715,User 715,47,High School
user-716,User 716,28,High School
user-717,User 717,56,High School
user-718,User 718,63,Master
user-719,User 719,21,Master
user-720,User 720,31,Master
user-721,User 721,42,Master
user-722,User 722,54,Bachelor
user-723,User 723,52,Master
user-724,User 724,43,Bachelor
,User 725,-1,
user-726,User 726,28,Bachelor
user-727,User 727,34,Master
user-728,User 728,36,Master
user-729,User 729,31,Master
user-730,User 730,35,Bachelor
user-731,User 731,54,PhD
user-732,User 732,58,Bachelor
user-733,User 733,52,PhD
user-734,User 734,26,Master
user-735,User 735,48,PhD
user-736,User 736,54,Bachelor
user-737,User 737,65,Master
user-738,User 738,20,Bachelor
user-739,User 739,23,PhD
user-740,User 740,41,PhD
user-741,User 741,36,Master
user-742,User 742,35,Bachelor
user-743,User 743,43,Bachelor
user-744,User 744,38,High School
user-745,User 745,47,Master
user-746,User 746,51,Bachelor
user-747,User 747,55,Master
user-748,User 748,52,Bachelor
user-749,User 749,49,High School
,User 750,-1,
user-751,User 751,30,Bachelor
user-752,User 752,33,High School
user-753,User 753,25,PhD
user-754,User 754,28,PhD
user-755,User 755,27,High School
user-756,User 756,42,PhD
user-757,User 757,38,High School
user-758,User 758,40,Bachelor
user-759,User 759,52,PhD
user-760,User 760,53,PhD
user-761,User 761,18,Bachelor
user-762,User 762,43,PhD
user-763,User 763,63,High School
user-764,User 764,64,PhD
user-765,User 765,48,High School
user-766,User 766,31,PhD
user-767,User 767,30,High School
user-768,User 768,63,High School
user-769,User 769,45,High School
user-770,User 770,46,PhD
user-771,User 771,61,Master
user-772,User 772,49,High School
user-773,User 773,52,High School
user-774,User 774,25,Bachelor
,User 775,-1,
user-776,User 776,22,Master
user-777,User 777,63,PhD
user-778,User 778,22,PhD
user-779,User 779,21,PhD
user-780,User 780,61,High School
user-781,User 781,21,PhD
user-782,User 782,58,PhD
user-783,User 783,35,Bachelor
user-784,User 784,29,PhD
user-785,User 785,41,Bachelor
user-786,User 786,39,Master
user-787,User 787,59,Bachelor
user-788,User 788,20,PhD
user-789,User 789,23,Master
user-790,User 790,31,Master
user-791,User 791,59,Master
user-792,User 792,41,High School
user-793,User 793,57,PhD
user-794,User 794,33,Master
user-795,User 795,21,Master
user-796,User 796,24,High School
user-797,User 797,40,Master
user-798,User 798,20,Master
user-799,User 799,62,Bachelor
,User 800,-1,
user-801,User 801,33,High School
user-802,User 802,35,Master
user-803,User 803,22,PhD
user-804,User 804,24,Bachelor
user-805,User 805,29,High School
user-806,User 806,58,Master
user-807,User 807,65,Master
user-808,User 808,30,Master
user-809,User 809,26,PhD
user-810,User 810,30,PhD
user-811,User 811,20,PhD
user-812,User 812,19,Master
user-813,User 813,34,High School
user-814,User 814,43,Bachelor
user-815,User 815,51,High School
user-816,User 816,64,Master
user-817,User 817,19,High School
user-818,User 818,44,High School
user-819,User 819,28,Master
user-820,User 820,46,Master
user-821,User 821,53,Bachelor
user-822,User 822,22,High School
user-823,User 823,48,Master
user-824,User 824,48,PhD
,User 825,-1,
user-826,User 826,24,High School
user-827,User 827,56,Bachelor
user-828,User 828,36,Master
user-829,User 829,32,PhD
user-830,User 830,45,Bachelor
user-831,User 831,29,High School
user-832,User 832,22,Bachelor
user-833,User 833,22,Bachelor
user-834,User 834,48,High School
user-835,User 835,49,High School
user-836,User 836,56,High School
user-837,User 837,34,PhD
user-838,User 838,36,High School
user-839,User 839,51,Master
user-840,User 840,56,Bachelor
user-841,User 841,39,PhD
user-842,User 842,36,PhD
user-843,User 843,45,Master
user-844,User 844,54,PhD
user-845,User 845,59,Master
user-846,User 846,22,PhD
user-847,User 847,44,Master
user-848,User 848,63,Bachelor
user-849,User 849,58,Bachelor
,User 850,-1,
user-851,User 851,40,PhD
user-852,User 852,54,High School
user-853,User 853,62,PhD
user-854,User 854,25,Bachelor
user-855,User 855,27,PhD
user-856,User 856,41,PhD
user-857,User 857,35,PhD
user-858,User 858,32,High School
user-859,User 859,64,Bachelor
user-860,User 860,20,High School
user-861,User 861,51,Bachelor
user-862,User 862,61,PhD
user-863,User 863,22,High School
user-864,User 864,24,Master
user-865,User 865,47,High School
user-866,User 866,31,Bachelor
user-867,User 867,52,Master
user-868,User 868,57,Master
user-869,User 869,56,High School
user-870,User 870,30,Bachelor
user-871,User 871,36,High School
user-872,User 872,47,Master
user-873,User 873,60,PhD
user-874,User 874,52,PhD
,User 875,-1,
user-876,User 876,55,Master
user-877,User 877,54,High School
user-878,User 878,39,Master
user-879,User 879,28,PhD
user-880,User 880,32,High School
user-881,User 881,21,High School
user-882,User 882,23,PhD
user-883,User 883,34,PhD
user-884,User 884,34,Bachelor
user-885,User 885,20,Bachelor
user-886,User 886,29,Master
user-887,User 887,33,Master
user-888,User 888,60,Bachelor
user-889,User 889,39,PhD
user-890,User 890,29,PhD
user-891,User 891,48,PhD
user-892,User 892,62,Bachelor
user-893,User 893,53,Master
user-894,User 894,57,PhD
user-895,User 895,61,Bachelor
user-896,User 896,31,High School
user-897,User 897,53,PhD
user-898,User 898,21,Bachelor
user-899,User 899,43,PhD
,User 900,-1,
user-901,User 901,38,High School
user-902,User 902,65,PhD
user-903,User 903,57,PhD
user-904,User 904,36,High School
user-905,User 905,33,PhD
user-906,User 906,27,PhD
user-907,User 907,63,High School
user-908,User 908,43,PhD
user-909,User 909,26,PhD
user-910,User 910,31,Master
user-911,User 911,59,Bachelor
user-912,User 912,59,Bachelor
user-913,User 913,61,Master
user-914,User 914,33,Bachelor
user-915,User 915,31,Bachelor
user-916,User 916,63,Master
user-917,User 917,55,PhD
user-918,User 918,22,Bachelor
user-919,User 919,34,Master
user-920,User 920,63,PhD
user-921,User 921,35,PhD
user-922,User 922,31,PhD
user-923,User 923,46,Master
user-924,User 924,36,Master
,User 925,-1,
user-926,User 926,47,PhD
user-927,User 927,43,PhD
user-928,User 928,27,Master
user-929,User 929,24,PhD
user-930,User 930,46,High School
user-931,User 931,35,High School
user-932,User 932,40,High School
user-933,User 933,61,High School
user-934,User 934,21,Master
user-935,User 935,59,High School
user-936,User 936,49,High School
user-937,User 937,36,PhD
user-938,User 938,60,PhD
user-939,User 939,22,Bachelor
user-940,User 940,28,Bachelor
user-941,User 941,22,Bachelor
user-942,User 942,36,PhD
user-943,User 943,24,Master
user-944,User 944,42,Bachelor
user-945,User 945,34,Bachelor
user-946,User 946,62,High School
user-947,User 947,37,Master
user-948,User 948,30,High School
user-949,User 949,59,PhD
,User 950,-1,
user-951,User 951,28,High School
user-952,User 952,61,Master
user-953,User 953,54,High School
user-954,User 954,55,Bachelor
user-955,User 955,53,Bachelor
user-956,User 956,34,PhD
user-957,User 957,65,PhD
user-958,User 958,55,PhD
user-959,User 959,26,Master
user-960,User 960,57,Bachelor
user-961,User 961,28,PhD
user-962,User 962,55,Master
user-963,User 963,65,Master
user-964,User 964,50,PhD
user-965,User 965,41,Bachelor
user-966,User 966,55,Bachelor
user-967,User 967,23,Master
user-968,User 968,58,PhD
user-969,User 969,53,PhD
user-970,User 970,65,Master
user-971,User 971,41,High School
user-972,User 972,57,PhD
user-973,User 973,40,High School
user-974,User 974,42,Bachelor
,User 975,-1,
user-976,User 976,27,PhD
user-977,User 977,29,High School
user-978,User 978,64,PhD
user-979,User 979,63,Master
user-980,User 980,35,Master
user-981,User 981,40,Bachelor
user-982,User 982,55,Master
user-983,User 983,52,High School
user-984,User 984,39,High School
user-985,User 985,61,High School
user-986,User 986,52,Master
user-987,User 987,55,High School
user-988,User 988,23,Master
user-989,User 989,62,PhD
user-990,User 990,41,Bachelor
user-991,User 991,21,High School
user-992,User 992,30,Master
user-993,User 993,64,Bachelor
user-994,User 994,54,Bachelor
user-995,User 995,32,PhD
user-996,User 996,27,PhD
user-997,User 997,27,Bachelor
user-998,User 998,50,Master
user-999,User 999,51,Bachelor
,User 1000,-1,
user-1001,User 1001,64,High School
user-1002,User 1002,33,Bachelor
user-1003,User 1003,55,Bachelor
user-1004,User 1004,23,Bachelor
user-1005,User 1005,59,High School
user-1006,User 1006,60,Master
user-1007,User 1007,57,Master
user-1008,User 1008,34,Bachelor
user-1009,User 1009,28,High School
user-1010,User 1010,54,Master
